,id,artist_name,key,mode,track_name,rel_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
30,3aw9iWUQ3VrPQltgwvN9Xu,Mary J. Blige,8.0,0.0,Family Affair,2001-01-01,76,0.132,0.911,265867.0,0.551,4.12e-05,0.0863,-3.75,0.0449,92.887,0.969
31,65B1tEOv5W294uCKbmEcFV,Lee Ann Womack,7.0,0.0,I Hope You Dance,2000-01-01,68,0.0632,0.385,294533.0,0.443,0.0,0.0898,-9.627,0.0295,151.278,0.275
32,49bUJjrC16NgnrgGS75Yan,Moby,4.0,1.0,South Side,2008-06-02,48,0.0103,0.61,229733.0,0.723,0.0447,0.0748,-7.572,0.0422,97.147,0.45
33,7DOtIhTTpPZyjvbO509hSC,Madonna,7.0,1.0,Don't Tell Me,2000-09-19,44,0.0502,0.699,280973.0,0.618,0.000925,0.0914,-7.338,0.0594,99.965,0.679
34,6zsk6uF3MxfIeHPlubKBvR,Missy Elliott,0.0,1.0,Get Ur Freak On,2001-05-14,71,0.533,0.797,211120.0,0.75,0.108,0.095,-9.369,0.247,177.87,0.74
35,3PJivN5BZ2ckFa22igIu4a,K-Ci & JoJo,0.0,1.0,Crazy,2000-01-01,61,0.0987,0.677,260267.0,0.648,0.0,0.554,-4.4,0.0259,116.128,0.448
36,0UzsDmdpw0Q14KU4hieQss,Craig David,8.0,1.0,Fill Me In,2000-08-14,62,0.376,0.682,257200.0,0.744,0.00951,0.06,-6.981,0.0365,132.493,0.827
37,43zr9kKkeiQrshvYuvNtfM,Janet Jackson,2.0,1.0,Someone To Call My Lover,2001-01-01,50,0.144,0.738,272360.0,0.914,0.00099,0.182,-4.203,0.0434,127.885,0.935
38,0eKyHwckh9vQb8ncZ2DXCs,Creed,0.0,1.0,With Arms Wide Open,1999-01-01,67,0.00425,0.41,274800.0,0.539,0.00089,0.117,-8.412,0.0302,138.852,0.141
39,1ak0S3NhwWrUgNlQhJ1412,Mýa,1.0,0.0,Case Of The Ex (Whatcha Gonna Do),2000-01-01,56,0.0687,0.774,236827.0,0.684,9.34e-05,0.0765,-4.721,0.0408,98.001,0.354
40,0WdaRmHBMhUoLPqHLdb9yg,Various Artists,0.0,1.0,All or Nothing,2001-09-25,50,0.262,0.641,248867.0,0.453,0.0,0.284,-4.98,0.0281,126.872,0.216
41,41nT1Sp6ChR65FbsdLlFHW,Destiny's Child,1.0,0.0,Bootylicious,2001-05-01,66,0.00281,0.84,207907.0,0.835,1.11e-06,0.152,-4.386,0.275,103.376,0.637
42,2aGw77pZqli064JiPuXYRi,Nelly Furtado,10.0,1.0,I'm Like A Bird,2000,72,0.147,0.623,243160.0,0.607,3.29e-06,0.227,-5.113,0.0353,89.654,0.614
43,6ZOBP3NvffbU4SZcrnt1k6,3 Doors Down,11.0,0.0,Kryptonite,2000,81,0.00664,0.545,233933.0,0.865,1.1e-05,0.168,-5.708,0.0286,99.009,0.543
44,77S8pBH3ilaDIPmTJkRNQn,R. Kelly,10.0,0.0,"Fiesta (feat. Jay-Z, Boo & Gotti) - Remix",2003-09-23,54,0.0103,0.92,241400.0,0.487,0.0,0.0411,-5.578,0.182,92.836,0.806
45,5ZsPy9wHH733NlU6c4v2Hi,Sugar Ray,4.0,1.0,When It's Over - David Kahne Main,2001-06-12,60,0.0387,0.675,217853.0,0.775,0.0,0.383,-5.772,0.0522,99.945,0.933
46,4iihDHIoKZdOeOW1kFDUtR,Aerosmith,9.0,1.0,Jaded,2001-03-05,63,0.005,0.517,214333.0,0.89,1.47e-05,0.0824,-4.033,0.0539,118.009,0.632
47,1X1KDnhTnb28tpJlgOV3lD,Jagged Edge,5.0,0.0,Promise,2000-01-18,58,0.136,0.751,246720.0,0.568,0.0,0.0288,-5.431,0.0872,128.002,0.646
48,0CmXXEwul09Kf8X68lPA5l,Case,1.0,0.0,Missing You,2001-01-01,57,0.285,0.612,284667.0,0.579,0.0,0.0556,-6.417,0.0553,86.31,0.716
49,0Uyh92tLyb9JawG8lmWCzJ,Ginuwine,3.0,0.0,Differences,2001-04-03,69,0.318,0.562,265533.0,0.594,0.0,0.311,-4.578,0.0558,62.876,0.423
50,46n2EGFnPC3tzWCN1Aqe26,*NSYNC,2.0,1.0,This I Promise You,2000-03-21,70,0.354,0.55,284760.0,0.587,0.0,0.128,-6.279,0.0329,165.975,0.466
51,4h5KBcltGefua73AUPYps7,JAY-Z,1.0,0.0,Izzo (H.O.V.A.),2001-09-11,64,0.0178,0.618,240627.0,0.844,0.000126,0.0634,-4.051,0.342,84.411,0.697
52,6KCOOKsDFfGEiwWZZlEI6O,Lil' Mo,6.0,0.0,Superwoman Pt. II - Rap Version Remix,2001-09-15,42,0.286,0.768,265588.0,0.541,0.0,0.107,-5.183,0.1,95.715,0.645
53,2gdt70w8DOCWGq1HdkgSUd,Evan And Jaron,0.0,1.0,Crazy for This Girl,2000-08-29,52,0.000487,0.457,202027.0,0.926,5.69e-05,0.0949,-5.461,0.038,93.964,0.41
54,1JypUznEo28FcBLPA0uEXo,Agrupacion LatinHits,10.0,0.0,Nobody Wants to Be Lonely (Tribute to Christina Aguilera & Ricky Martin),2015-02-04,0,0.0434,0.549,28108.0,0.759,0.0207,0.15,-5.954,0.0775,202.535,0.781
55,0s46SltT4On0Z6kglK1I5c,JAY-Z,4.0,0.0,I Just Wanna Love U (Give It 2 Me),2000-10-31,62,0.301,0.8,227867.0,0.922,9.31e-06,0.0352,-5.125,0.24,98.631,0.801
56,0jG92AlXau21qgCQRxGLic,Missy Elliott,9.0,1.0,One Minute Man (feat. Ludacris),2001-05-14,59,0.0266,0.622,252987.0,0.669,2.97e-06,0.152,-8.419,0.329,93.839,0.57
57,0e42i89bY2NmPuVDtey8pg,Mystikal,7.0,1.0,Danger (Been So Long) featuring Nivea,2000-09-26,58,0.211,0.92,211400.0,0.861,2.59e-05,0.0288,-5.435,0.218,97.969,0.718
58,6FLwmdmW77N1Pxb1aWsZmO,Enya,3.0,1.0,Only Time,2000-11-11,73,0.841,0.418,218547.0,0.249,0.661,0.112,-13.744,0.0301,82.803,0.213
59,0NdEFLohwfZpyncrBCq1ZY,Toya,6.0,0.0,I Do!!,2001-07-09,44,0.0859,0.781,213493.0,0.583,0.00216,0.058,-7.83,0.0628,156.264,0.91
60,1rzssdgfZiGs7VAMsYN9SF,S Club 7,5.0,1.0,Never Had A Dream Come True,2000-06-12,52,0.508,0.636,240640.0,0.531,0.0,0.0952,-5.593,0.0273,122.918,0.496
61,08GOEVXupC6ECbulhPGQKm,Tamia,0.0,1.0,Stranger in My House,2000-10-01,50,0.103,0.676,285387.0,0.601,0.0,0.147,-4.905,0.0297,119.94,0.206
62,2TVSa07y6g3HRn4oLWv57M,Jessica Simpson,8.0,0.0,Irresistible,2001-06-05,42,0.0279,0.659,193600.0,0.966,8.25e-05,0.0489,-2.783,0.0538,93.008,0.687
63,0xikWgPgYN9BEes0ieZ8Co,Sunshine Anderson,3.0,0.0,Heard It All Before,2001,59,0.0614,0.697,295827.0,0.925,0.0,0.095,-4.209,0.216,96.951,0.678
64,65KzDXZm9aQt8sA1k0ZVG3,Dave Matthews Band,9.0,1.0,The Space Between,2001-02-27,57,0.0471,0.406,242000.0,0.73,0.0,0.229,-6.278,0.0315,170.032,0.207
65,1s2khOWzC99udpUaPICLJI,Faith Hill,8.0,1.0,There You'll Be - 2007 Remaster,2007,55,0.496,0.325,220840.0,0.532,0.0,0.134,-7.208,0.0308,129.021,0.162
66,6uSa5iCMwPr10Ftpz8w09b,Musiq Soulchild,1.0,0.0,Love,2000-01-01,59,0.342,0.569,304667.0,0.385,0.0,0.0876,-9.919,0.0499,99.738,0.339
67,769geiA8btidGHda4BBDOJ,112,1.0,1.0,It's Over Now,2001,60,0.0106,0.66,264933.0,0.71,7.01e-06,0.0736,-4.541,0.0409,97.988,0.233
68,5zn1hpm9N0ylKB7kOtpCw2,3LW,2.0,0.0,No More (Baby I'ma Do Right),2000-11-06,59,0.102,0.721,263440.0,0.723,4.4e-06,0.0651,-7.08,0.0631,88.933,0.761
69,2q7eVUjdkQqEoYjqgkmucE,Various Artists,2.0,1.0,Turn Off The Light,2022-01-05,0,0.0721,0.593,276067.0,0.673,0.000388,0.431,-6.257,0.113,180.214,0.645
